LabelValue,Name,Color_R,Color_G,Color_B,Color_A,Category_CodingScheme,Category_CodeValue,Category_CodeMeaning,Type_CodingScheme,Type_CodeValue,Type_CodeMeaning,TypeModifier_CodingScheme,TypeModifier_CodeValue,TypeModifier_CodeMeaning,Region_CodingScheme,Region_CodeValue,Region_CodeMeaning,RegionModifier_CodingScheme,RegionModifier_CodeValue,RegionModifier_CodeMeaning
1,Entopallium (E),58,149,252,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000964,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000964,Entopallium (E),,,,,,,,,
2,Intermediate subpretectal nucleus (ISPT),255,207,218,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0005389,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0005389,Intermediate subpretectal nucleus (ISPT),,,,,,,,,
3,"Nucleus isthmi, magnocellular part (Imc)",255,236,179,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001769,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001769,"Nucleus isthmi, magnocellular part (Imc)",,,,,,,,,
4,"Nucleus isthmi, parvocellular part (Ipc)",219,46,46,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001776,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001776,"Nucleus isthmi, parvocellular part (Ipc)",,,,,,,,,
5,Isthmo-optic nucleus (ION),167,171,121,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001775,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001775,Isthmo-optic nucleus (ION),,,,,,,,,
6,Layer 13 (LXIII/SGC) of Optic Tectum,65,36,128,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000966,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000966,Layer 13 (LXIII/SGC),,,,,,,,,
7,Layer 5 (LV/SGFS) of Optic Tectum,120,82,204,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001783,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001783,Layer 5 (LV/SGFS),,,,,,,,,
8,Ventrolateral mesopallium (MVL),213,155,255,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000941,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000941,Ventrolateral mesopallium (MVL),,,,,,,,,
9,Optic tectum (TeO),101,56,199,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001773,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001773,Optic tectum (TeO),,,,,,,,,
10,Pretectal nucleus (PT),218,201,255,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000053,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000053,Pretectal nucleus (PT),,,,,,,,,
11,Posteroventral thalamic nucleus (PVTh),204,41,150,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0006762,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0006762,Posteroventral thalamic nucleus (PVTh),,,,,,,,,
12,Nucleus rotundus (ROT),135,206,250,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000964,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000964,Nucleus rotundus (ROT),,,,,,,,,
13,Semilunar nucleus (SLu),255,140,0,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0005389,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0005389,Semilunar nucleus (SLu),,,,,,,,,
14,Lateral spiriform nucleus (SpL),72,209,204,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001769,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001769,Lateral spiriform nucleus (SpL),,,,,,,,,
15,Subpretectal nucleus (SP),255,182,193,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001776,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001776,Subpretectal nucleus (SP),,,,,,,,,
16,Dorsal rotundus (ROTd),186,85,211,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001775,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001775,Dorsal rotundus (ROTd),,,,,,,,,
17,Intermediate rotundus (ROTi),144,238,144,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000966,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000966,Intermediate rotundus (ROTi),,,,,,,,,
18,Lateral posterior rotundus (ROTlp),255,228,181,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001783,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001783,Lateral posterior rotundus (ROTlp),,,,,,,,,
19,Triangularis (T),64,224,208,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000941,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000941,Triangularis (T),,,,,,,,,
20,Ventral rotundus (ROTv),218,112,214,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001773,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001773,Ventral rotundus (ROTv),,,,,,,,,
21,Entopallium belt (Eb),173,216,230,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000053,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000053,Entopallium belt (Eb),,,,,,,,,
22,Internal core (Ei),240,128,128,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0006762,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0006762,Internal core (Ei),,,,,,,,,
23,External core (Ee),152,251,152,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000964,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000964,External core (Ee),,,,,,,,,
24,Retinal ganglion cells (RGCs),221,160,221,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0005389,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0005389,Retinal ganglion cells (RGCs),,,,,,,,,
25,Dorsal geniculate nuclear complex (GLd),255,218,185,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001769,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001769,Dorsal geniculate nuclear complex (GLd),,,,,,,,,
26,"Dorsolateral anterior thalamus, lateral rostral part (DLAlr)",176,196,222,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001776,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001776,"Dorsolateral anterior thalamus, lateral rostral part (DLAlr)",,,,,,,,,
27,Hyperpallium,255,160,122,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001775,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001775,Hyperpallium,,,,,,,,,
28,"Dorsolateral anterior thalamus, magnocellular part (DLAmc)",147,112,219,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000966,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000966,"Dorsolateral anterior thalamus, magnocellular part (DLAmc)",,,,,,,,,
29,"Dorsolateral anterior thalamus, lateral part (DLL)",250,250,210,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001783,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001783,"Dorsolateral anterior thalamus, lateral part (DLL)",,,,,,,,,
30,"Dorsolateral anterior thalamus, lateral part, ventromedial subdivision (DLLvm)",123,104,238,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000941,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000941,"Dorsolateral anterior thalamus, lateral part, ventromedial subdivision (DLLvm)",,,,,,,,,
31,"Dorsolateral anterior thalamus, lateral part, dorsolateral subdivision (DLLdl)",255,239,213,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001773,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001773,"Dorsolateral anterior thalamus, lateral part, dorsolateral subdivision (DLLdl)",,,,,,,,,
32,Corticoseptomesencephalic tract (csm),106,90,205,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000053,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000053,Corticoseptomesencephalic tract (csm),,,,,,,,,
33,Suprarotundus (SpROT),255,192,203,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0006762,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0006762,Suprarotundus (SpROT),,,,,,,,,
34,Subrotundus nucleus (SROT),95,158,160,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000964,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000964,Subrotundus nucleus (SROT),,,,,,,,,
35,Lateral dorsal principal optic thalamus (LdOPT),255,222,173,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0005389,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0005389,Lateral dorsal principal optic thalamus (LdOPT),,,,,,,,,
36,Apical hyperpallium (HA),138,43,226,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001769,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001769,Apical hyperpallium (HA),,,,,,,,,
37,Intercalated nucleus of the apical hyperpallium (IHA),245,245,220,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001776,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001776,Intercalated nucleus of the apical hyperpallium (IHA),,,,,,,,,
38,Intermediate hyperpallium (HI),75,0,130,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001775,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001775,Intermediate hyperpallium (HI),,,,,,,,,
39,Densocellular hyperpallium (HD),255,250,205,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000966,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000966,Densocellular hyperpallium (HD),,,,,,,,,
40,Arcopallium (ARP),153,50,204,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001783,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001783,Arcopallium (ARP),,,,,,,,,
41,Anterior commissure (ac),230,230,250,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000941,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000941,Anterior commissure (ac),,,,,,,,,
42,Temporo-parieto-occipital area (TPO),199,21,133,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001773,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001773,Temporo-parieto-occipital area (TPO),,,,,,,,,
43,Hippocampal formation (Hp),240,230,140,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000053,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000053,Hippocampal formation (Hp),,,,,,,,,
44,Cerebellar folium I,216,191,216,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0006762,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0006762,Cerebellar folium I,,,,,,,,,
45,Cerebellar folium II,255,255,224,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000964,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000964,Cerebellar folium II,,,,,,,,,
46,Cerebellar folium III,238,130,238,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0005389,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0005389,Cerebellar folium III,,,,,,,,,
47,Cerebellar folium IV,245,222,179,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001769,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001769,Cerebellar folium IV,,,,,,,,,
48,Cerebellar folium Va,148,0,211,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001776,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001776,Cerebellar folium Va,,,,,,,,,
49,Cerebellar folium Vb,253,245,230,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001775,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001775,Cerebellar folium Vb,,,,,,,,,
50,Cerebellar folium VIa,128,0,128,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000966,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000966,Cerebellar folium VIa,,,,,,,,,
51,Cerebellar folium VIb,255,248,220,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001783,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001783,Cerebellar folium VIb,,,,,,,,,
52,Cerebellar folium VIc,218,165,32,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000941,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000941,Cerebellar folium VIc,,,,,,,,,
53,Cerebellar folium VII,255,240,245,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001773,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001773,Cerebellar folium VII,,,,,,,,,
54,Cerebellar folium VIII,184,134,11,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000053,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000053,Cerebellar folium VIII,,,,,,,,,
55,Cerebellar folium IXa,255,245,238,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0006762,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0006762,Cerebellar folium IXa,,,,,,,,,
56,Cerebellar folium IXb,205,133,63,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000964,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000964,Cerebellar folium IXb,,,,,,,,,
57,Cerebellar folium IXcd,250,240,230,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0005389,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0005389,Cerebellar folium IXcd,,,,,,,,,
58,Cerebellar folium X,210,105,30,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001769,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001769,Cerebellar folium X,,,,,,,,,
59,Arbor vitae,255,228,225,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001776,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001776,Arbor vitae,,,,,,,,,
60,Cerebellar peduncles,139,69,19,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001775,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001775,Cerebellar peduncles,,,,,,,,,
61,Forebrain,255,218,185,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000966,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000966,Forebrain,,,,,,,,,
62,Midbrain,176,196,222,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001783,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001783,Midbrain,,,,,,,,,
63,Brainstem,255,160,122,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000941,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000941,Brainstem,,,,,,,,,
64,Optic tectum (tectum),147,112,219,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0001773,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0001773,Optic tectum (tectum),,,,,,,,,
65,Optic Nerve,250,250,210,255,Uberon,http://purl.obolibrary.org/obo/UBERON_0000053,Brain,Uberon,http://purl.obolibrary.org/obo/UBERON_0000053,Optic Nerve,,,,,,,,,